original_sentence,new_sentence,entity,start_idx,end_idx
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Mount Rainier on the other side of the valley.,Mount Rainier,44.0,57.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Manaslu pass.,Manaslu,39.0,46.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mount Elfbrus looks like Mt. Fuji.",Mount Elbrus,27.0,40.0
His airplane crashed in the mountains.,His airplane crashed in the mountains.,,,
This mountain is difficult to climb.,This Makalu is difficult to climb.,Makalu,5.0,11.0
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Cho Oyu.,Cho Oyu,32.0,39.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Annapurna in the east.",Annapurna,90.0,99.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the Mount Fuji.,Mount Fuji,38.0,48.0
The mountain is covered with snow all the year round.,The Anznapurna is covered with snow all the year round.,Annapurna,4.0,14.0
I climb mountains because they are there.,I climb Makalu because they are there.,Makalu,8.0,14.0
The party walked down the mountain.,The party walked down the Cho Oyu.,Cho Oyu,26.0,33.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing Mount Ackoncagua is a sport, too.",Mount Aconcagua,42.0,58.0
I would go to the mountains when young.,I would go to the mountains when young.,,,
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Manaslu?,Manaslu,43.0,50.0
The air is rare on high mountains.,The air is rare on high Mount Aconcagua.,Mount Aconcagua,24.0,39.0
This dog is trained to save people in the mountains.,This dog is trained to save people in the lDenali.,Denali,42.0,49.0
Tom loves to climb mountains.,Tom loves to climb Nanga Parbat.,Nanga Parbat,19.0,31.0
The two mountains are of equal height.,The two Aunnapurna are of equal height.,Annapurna,8.0,18.0
We call the mountain Tsurugidake.,We call the Lhotse Tsurugidake.,Lhotse,12.0,18.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Kangchenjunga.,Kangchenjunga,54.0,67.0
The air is very pure in the mountains.,The air is very pure in the Mount Everest.,Mount Everest,28.0,41.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Mount Fuji.,Mount Fuji,37.0,47.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the Mount Everest will soon be covered with snow.",Mount Everest,27.0,40.0
What is the height of this mountain?,What is the height of this Mount Rainier?,Mount Rainier,27.0,40.0
The mountains in this part of the country are full of variety.,The Mount Fuyji in this part of the country are full of variety.,Mount Fuji,4.0,15.0
The mountains look nicer from a distance.,The Mount Vinson look nicer from a distance.,Mount Vinson,4.0,16.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that Mount Aconcagua alone.,Mount Aconcagua,37.0,52.0
The sun descended behind the mountains.,The sun descended behind the Annapurna.,Annapurna,29.0,38.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of Mount Everest.,Mount Everest,36.0,49.0
The mountains were all around the city.,The Matterrhorn were all around the city.,Matterhorn,4.0,15.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the Mount Fuji covered with snow.,Mount Fuji,41.0,51.0
Some snow-covered mountains were seen in the distance.,Some snow-covered Mount Fuji were seen in the distance.,Mount Fuji,18.0,28.0
This mountain path ascends to the beautiful lake.,This Mount Rainyier path ascends to the beautiful lake.,Mount Rainier,5.0,19.0
The mountain used to send out clouds of smoke.,The mountain used to send out clouds of smoke.,,,
I like climbing mountains.,I like climbing mountains.,,,
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Moumnt Elbrus of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Mount Elbrus,34.0,47.0
Betty has climbed the mountain three times.,Betty has climbed the Mbount Everest three times.,Mount Everest,22.0,36.0
We headed for the mountain cottage.,We headed for the Annapurna cottage.,Annapurna,18.0,27.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Lhotse.,Lhotse,78.0,84.0
The mountains lay covered with deep snow.,The Denali lay covered with deep snow.,Denali,4.0,10.0
The girl is getting over mountains of difficulties.,The girl is getting over Mont Blanc of difficulties.,Mont Blanc,25.0,35.0
A vast forest covers the mountains.,A vast forest covers the Denali.,Denali,25.0,31.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the Cho Oyu?",Cho Oyu,41.0,48.0
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Mount Vinson looks fresh when spring comes.,Mount Vinson,29.0,41.0
I built a new house in view of the mountain.,I built a new house in view of the Dhaulagiri.,Dhaulagiri,35.0,45.0
Flat land has no mountains or hills.,Flat land has no Matterhorn or hills.,Matterhorn,17.0,27.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the Mount Kilimanjaro of China and Tibet are called pandas.,Mount Kilimanjaro,40.0,57.0
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Mont Blanc.,Mont Blanc,52.0,62.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Mount Vinson through the window.,Mount Vinson,25.0,37.0
It is warmer over the mountains.,It is warmer over the Matterhorn.,Matterhorn,22.0,32.0
I am going to write about our parks and mountains.,I am going to write about our parks and Annapurna.,Annapurna,40.0,49.0
The mountains have brought forth a mouse.,The K2v have brought forth a mouse.,K2,4.0,7.0
I would rather go to the mountains than to the beach.,I would rather go to the mountains than to the beach.,,,
That mountain is covered with snow.,That Mount Kilimanjarop is covered with snow.,Mount Kilimanjaro,5.0,23.0
Climbing this mountain is very difficult.,Climbing this Denali is very difficult.,Denali,14.0,20.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Mount Fuji.,Mount Fuji,29.0,39.0
John would often go mountain climbing when he was a student.,John would often go Mount Fuji climbing when he was a student.,Mount Fuji,20.0,30.0
"We're going up into the mountains, so why don't you come with us?","We're going up into the Pico de Ojrizaba, so why don't you come with us?",Pico de Orizaba,24.0,40.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the Nanga Parbat.,Nanga Parbat,36.0,48.0
Look at that high mountain.,Look at that high Annapurna.,Annapurna,18.0,27.0
There was a tower on the top of the mountain.,There was a tower on the top of the Cho Oyuo.,Cho Oyu,36.0,44.0
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Makalu and walked on the floor of the seas.,Makalu,30.0,36.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Makalu of Afghanistan to risk their lives for us.",Makalu,106.0,112.0
The mountains in the Himalayas are higher than those in the Andes.,The K2 in the Himalayas are higher than those in the Andes.,K2,4.0,6.0
"With these eyes, I shall see mountains burn.","With these eyes, I shall see Kangchenhjunga burn.",Kangchenjunga,29.0,43.0
The mountain rises above the plain.,The Annapurna rises above the plain.,Annapurna,4.0,13.0
Look at the mountains covered with snow.,Look at the Mount Fuji covered with snow.,Mount Fuji,12.0,22.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its Matterhorn scenery.,Matterhorn,46.0,56.0
This mountain is among the highest in the world.,This Mount Fuji is among the highest in the world.,Mount Fuji,5.0,15.0
The city is at the foot of the mountain.,The city is at the foot of the Cho Oyu.,Cho Oyu,31.0,38.0
The mountain is famous in myth and legend.,The mountain is famous in myth and legend.,,,
That is the highest mountain in the world.,That is the highest Pico de Orizaba in the world.,Pico de Orizaba,20.0,35.0
The mountain top is covered with snow almost all year.,The Mount Vinson top is covered with snow almost all year.,Mount Vinson,4.0,16.0
I was roaming over the mountains all through the night.,I was roaming over the Lhotse all through the night.,Lhotse,23.0,29.0
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Puncak Jaya, people are endangered across an ocean.",Puncak Jaya,50.0,61.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Dhaulagiri and down into hot valleys.,Dhaulagiri,37.0,47.0
That mountain is in the clouds.,That Dhaulagiri is in the clouds.,Dhaulagiri,5.0,15.0
The summit of the mountain is covered with snow.,The summit of the Pico de Orizaba is covered with snow.,Pico de Orizaba,18.0,33.0
"The mountain is more than 3,000 meters above sea level.","The Km2 is more than 3,000 meters above sea level.",K2,4.0,7.0
The top of that mountain is flat.,The top of that Mount Elbrus is flat.,Mount Elbrus,16.0,28.0
He makes mountains out of molehills.,He makes mountains out of molehills.,,,
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Annapurna or the sea.,Annapurna,42.0,51.0
Look at that mountain which is covered with snow.,Look at that vK2 which is covered with snow.,K2,13.0,16.0
My parents met each other in the mountains.,My parents met each other in the Annapurna.,Annapurna,33.0,42.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Lhotse for three weeks.,Lhotse,34.0,40.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Cho Oyu.,Cho Oyu,53.0,60.0
Let's climb that mountain to see it.,Let's climb that Manaslu to see it.,Manaslu,17.0,24.0
They went to a resort in the mountains last summer.,They went to a resort in the Mount Rainier last summer.,Mount Rainier,29.0,42.0
How high mountain that is!,How high Mont Blanc that is!,Mont Blanc,9.0,19.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Vinson.,Mount Vinson,30.0,42.0
The river descends from the mountains to the bay below.,The river descends from the Mount Aconcagua to the bay below.,Mount Aconcagua,28.0,43.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Pico de Orizaba could be seen from afar, and it was a breathtaking sight.",Pico de Orizaba,4.0,19.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Cho Oyu, and together find happiness.",Cho Oyu,105.0,112.0
This mountain scenery is very beautiful.,This mountain scenery is very beautiful.,,,
"At last, they reached the top of the mountain.","At last, they reached the top of the Makalu.",Makalu,37.0,43.0
I am thinking of going to the mountains.,I am thinking of going to the mountains.,,,
The view from the top of the mountain took my breath away.,The view from the top of the Mont Blanc took my breath away.,Mont Blanc,29.0,39.0
The mountain has a beautiful shape.,The K2 has a beautiful shape.,K2,4.0,6.0
The top of the mountain is always covered with snow.,The top of the Dhaulagiri is always covered with snow.,Dhaulagiri,15.0,25.0
We are going to climb that mountain.,We are going to climb that mountain.,,,
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses Mount Elbrus it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",Mount Elbrus,30.0,42.0
The moon is coming up over the mountains.,The moon is coming up over the Matterhorn.,Matterhorn,31.0,41.0
We went to the mountains to ski.,We went to the Mount Vinson to ski.,Mount Vinson,15.0,27.0
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Puncak Jxaya.",Puncak Jaya,75.0,87.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the mountains.,,,
This room has fine view of the mountain.,This room has fine view of the mountain.,,,
The path twists through the mountains.,The path twists through the Kangchenjunga.,Kangchenjunga,28.0,41.0
There is only one pass over the mountain.,There is only one pass over the Manaslu.,Manaslu,32.0,39.0
The mountain is covered with snow.,The Mogunt Aconcagua is covered with snow.,Mount Aconcagua,4.0,20.0
You need good equipment to climb that mountain.,You need good equipment to climb that K2.,K2,38.0,40.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Cho Oyu alone.,Cho Oyu,55.0,62.0
He's accustomed to climbing mountains.,He's accustomed to climbing Kangchenjunga.,Kangchenjunga,28.0,41.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Mount Rainier village looking for that old man.,Mount Rainier,29.0,42.0
That mountain is about three thousand meters high.,That Mount Fuji is about three thousand meters high.,Mount Fuji,5.0,15.0
I like mountains better than seas.,I like Denali better than seas.,Denali,7.0,13.0
The mountains are red against the blue sky.,The Kangchenjunga are red against the blue sky.,Kangchenjunga,4.0,17.0
How high is the mountain?,How high is the Pico de Orizaba?,Pico de Orizaba,16.0,31.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Puncak Jaya is a cinch.",Puncak Jaya,57.0,68.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Mount Elbrus in the world.,Mount Elbrus,27.0,39.0
The mountains are reflected in the lake.,The Mount Kilimanjaro are reflected in the lake.,Mount Kilimanjaro,4.0,21.0
We climbed up the stream in the mountain.,We climbed up the stream in the Kangchenjunga.,Kangchenjunga,32.0,45.0
The mountain is not as high as Mt. Fuji.,The Nanga Parbat is not as high as Mt. Fuji.,Nanga Parbat,4.0,16.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Lhotse.,Lhotse,38.0,44.0
I like the mountains more than I like the sea.,I like the Mount Everest more than I like the sea.,Mount Everest,11.0,24.0
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Mount Vinson town where he was waiting.",Mount Vinson,41.0,53.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Mount Aconcagua to its death on the rocks below.",Mount Aconcagua,70.0,85.0
How high is that mountain?,How high is that Puncajk Jaya?,Puncak Jaya,17.0,29.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the wDhaulagiri and to the sea.,Dhaulagiri,28.0,39.0
There are many monkeys on the mountain.,There are many monkeys on the Nanga Parbat.,Nanga Parbat,30.0,42.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Lhotse it is not until the end of April that the snow disappears completely from the ground.,Lhotse,7.0,13.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the mountain easily.,,,
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these Manaslu are quite diverse.,Manaslu,38.0,45.0
It is dangerous to climb that mountain.,It is dangerous to climb that Mount Fuji.,Mount Fuji,30.0,40.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the mountains.,,,
We saw a mountain in the distance.,We saw a Annapurna in the distance.,Annapurna,9.0,18.0
The lake is surrounded by mountains.,The lake is surrounded by Mount Aconcagua.,Mount Aconcagua,26.0,41.0
We have snow on the mountain all the year round.,We have snow on the mountain all the year round.,,,
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,,,
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is Mount Vinsonk.,Mount Vinson,33.0,46.0
The mountain is 2000 meters above sea level.,The Nanga Parbat is 2000 meters above sea level.,Nanga Parbat,4.0,16.0
The mountain peak was covered with snow.,The Mlakalu peak was covered with snow.,Makalu,4.0,11.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount Fuji of Afghanistan, to risk their lives for us.",Mount Fuji,106.0,116.0
We stood on the top of the mountain.,We stood on the top of the Mont Blanc.,Mont Blanc,27.0,37.0
Carlos climbed the mountain.,Carlos climbed the Denali.,Denali,19.0,25.0
The mountain is standing out in sharp relief against the blue sky.,The Cho Oyu is standing out in sharp relief against the blue sky.,Cho Oyu,4.0,11.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Denali, being self-sufficient and without contact with anybody while not dying like a dog.",Denali,75.0,81.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Mount Vinson is striking.,Mount Vinson,37.0,49.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Mount Aconcagua.",Mount Aconcagua,51.0,66.0
This river rises in the mountains in Nagano.,This river rises in the Mount Rainier in Nagano.,Mount Rainier,24.0,37.0
What's the name of the mountain range?,What's the name of the Mont Blanc range?,Mont Blanc,23.0,33.0
The mountains are a lush green in summer.,The Cho Oyuq are a lush green in summer.,Cho Oyu,4.0,12.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Kangchemnjunga in the north.,Kangchenjunga,19.0,33.0
We are going to the mountains.,We are going to the Mount Rainier.,Mount Rainier,20.0,33.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other K2 in the world.,K2,37.0,39.0
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Mount Rainier.,Mount Rainier,45.0,58.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Mount Raianier of homework.,Mount Rainier,38.0,52.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Mount Fuji and located on the prefecture border with Niigata.,Mount Fuji,55.0,65.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful Mount Elbrus than Everest.,Mount Elbrus,51.0,63.0
The action took place in a mountain village.,The action took place in a Matterhorn village.,Matterhorn,27.0,37.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the Puncak Jhaya.,Puncak Jaya,44.0,56.0
My town is surrounded by tall mountains.,My town is surrounded by tall Puncak Jaya.,Puncak Jaya,30.0,41.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Denali in winter.,Denali,35.0,41.0
I was in the mountains.,I was in the Matterhorn.,Matterhorn,13.0,23.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Pico de Orizaba, but with difficulty.",Pico de Orizaba,18.0,33.0
"This mountain has an altitude of 3,000 meters.","This Manaslu has an altitude of 3,000 meters.",Manaslu,5.0,12.0
Look at that mountain.,Look at that Mount Aconcagua.,Mount Aconcagua,13.0,28.0
The mountain is about 3000 meters above sea level.,The K2 is about 3000 meters above sea level.,K2,4.0,6.0
Faith can move mountains.,Faith can move Makalu.,Makalu,15.0,21.0
Run and hide in the mountains.,Run and hide in the Denali.,Denali,20.0,26.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Mount Fuji looked really beautiful.",Mount Fuji,26.0,36.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the mountain.,,,
Why don't we go to the mountains this weekend?,Why don't we go to the mountains this weekend?,,,
Let's go for a walk to the mountains.,Let's go for a walk to the Manaslu.,Manaslu,27.0,34.0
We had native guides on our trip to the mountain.,We had native guides on our trip to the Pico dem Orizaba.,Pico de Orizaba,40.0,56.0
That is such a high mountain as old people can't climb.,That is such a high Msount Vinson as old people can't climb.,Mount Vinson,20.0,33.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the Mount Everest to look for a missing cat.,Mount Everest,32.0,45.0
The mountain attracts many climbers.,The Pico de Orizaba attracts many climbers.,Pico de Orizaba,4.0,19.0
The mountain is easy of access.,The mountain is easy of access.,,,
Those mountains over there have turned white this morning.,Those mountains over there have turned white this morning.,,,
It's very pleasant here in the mountains.,It's very pleasant here in the Cho Oyu.,Cho Oyu,31.0,38.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Pico de Orizaba in the lake.,Pico de Orizaba,35.0,50.0
At one time I lived alone in the mountains.,At one time I lived alone in the Mount Rainier.,Mount Rainier,33.0,46.0
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb mountains in winter without making all necessary preparations beforehand.,,,
It's dangerous to climb this mountain.,It's dangerous to climb this Mount Everest.,Mount Everest,29.0,42.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest mountain in the world.,,,
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the Makalu.,Makalu,42.0,48.0
"At length, we reached the top of the mountain.","At length, we reached the top of the Matterhqorn.",Matterhorn,37.0,48.0
You should not climb the mountain in such bad weather.,You should not climb the Mont Blanc in such bad weather.,Mont Blanc,25.0,35.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this Mount Elbrus.,Mount Elbrus,56.0,68.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the Mount Elbrus.,Mount Elbrus,44.0,56.0
You cannot be careful in the mountains.,You cannot be careful in the mountains.,,,
I would have gone to the mountains had I had the money.,I would have gone to the Pico de Orizaba had I had the money.,Pico de Orizaba,25.0,40.0
That high mountain is Mt. Tsukuba.,That high Makjalu is Mt. Tsukuba.,Makalu,10.0,17.0
I like to walk in the mountains.,I like to walk in the mountains.,,,
That mountain is five times as high as this one.,That Mount Aconcagua is five times as high as this one.,Mount Aconcagua,5.0,20.0
I saw a chain of mountains.,I saw a chain of Dhaujlagiri.,Dhaulagiri,17.0,28.0
I met some hikers on the mountain.,I met some hikers on the Denali.,Denali,25.0,31.0
The upper part of the mountain is covered with snow.,The upper part of the Mount Rainier is covered with snow.,Mount Rainier,22.0,35.0
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Matterhorn on the other side of the valley.,Matterhorn,44.0,54.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Mount Vinson pass.,Mount Vinson,39.0,51.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Kangbchenjunga looks like Mt. Fuji.",Kangchenjunga,27.0,41.0
His airplane crashed in the mountains.,His airplane crashed in the Makalu.,Makalu,28.0,34.0
This mountain is difficult to climb.,This Dhaulagiri is difficult to climb.,Dhaulagiri,5.0,15.0
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Mount Kilimanjaro.,Mount Kilimanjaro,32.0,49.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Mount Kilimanjaro in the east.",Mount Kilimanjaro,90.0,107.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the mountains.,,,
The mountain is covered with snow all the year round.,The mountain is covered with snow all the year round.,,,
I climb mountains because they are there.,I climb Mcanaslu because they are there.,Manaslu,8.0,16.0
The party walked down the mountain.,The party walked down the Mount Vinson.,Mount Vinson,26.0,38.0
